timeframe,time,open,high,low,close,volume
1D,2010-01-04T00:00:00,1882.689941,1890.02002,1881.630005,1886.699951,1931380000.0
1D,2010-01-05T00:00:00,1887.280029,1891.329956,1877.52002,1888.430054,2367860000.0
1D,2010-01-06T00:00:00,1887.910034,1893.209961,1873.900024,1878.420044,2253340000.0
1D,2010-01-07T00:00:00,1878.160034,1881.329956,1867.619995,1876.719971,2270050000.0
1D,2010-01-08T00:00:00,1870.900024,1893.25,1868.550049,1892.589966,2145390000.0
1D,2010-01-11T00:00:00,1896.050049,1897.48999,1876.25,1886.23999,2077890000.0
1D,2010-01-12T00:00:00,1874.75,1876.369995,1852.310059,1861.790039,2368320000.0
1D,2010-01-13T00:00:00,1868.199951,1890.810059,1855.27002,1886.130005,2318350000.0
1D,2010-01-14T00:00:00,1880.459961,1891.72998,1880.349976,1886.52002,2254170000.0
1D,2010-01-15T00:00:00,1887.310059,1893.47998,1857.109985,1864.52002,2637770000.0
1D,2010-01-19T00:00:00,1869.23999,1896.540039,1868.829956,1895.47998,2045290000.0
1D,2010-01-20T00:00:00,1882.060059,1882.310059,1848.089966,1867.949951,2351890000.0
1D,2010-01-21T00:00:00,1874.540039,1885.01001,1842.859985,1850.569946,2877800000.0
1D,2010-01-22T00:00:00,1842.109985,1849.209961,1791.400024,1794.819946,2817620000.0
1D,2010-01-25T00:00:00,1806.599976,1813.650024,1794.680054,1802.390015,2134350000.0
1D,2010-01-26T00:00:00,1798.359985,1825.949951,1792.040039,1803.859985,2361260000.0
1D,2010-01-27T00:00:00,1801.670044,1823.800049,1790.099976,1818.900024,2492880000.0
1D,2010-01-28T00:00:00,1805.640015,1805.849976,1762.099976,1771.099976,2829640000.0
1D,2010-01-29T00:00:00,1787.140015,1789.930054,1734.030029,1741.040039,3090580000.0
1D,2010-02-01T00:00:00,1745.910034,1760.719971,1744.26001,1760.719971,2234140000.0
1D,2010-02-02T00:00:00,1760.650024,1780.170044,1750.390015,1776.920044,2468470000.0
1D,2010-02-03T00:00:00,1767.140015,1787.890015,1766.599976,1784.699951,2303350000.0
1D,2010-02-04T00:00:00,1771.780029,1775.369995,1732.98999,1732.98999,2801390000.0
1D,2010-02-05T00:00:00,1739.189941,1748.77002,1712.890015,1746.119995,2811100000.0
1D,2010-02-08T00:00:00,1744.02002,1755.650024,1734.119995,1734.880005,2036280000.0
1D,2010-02-09T00:00:00,1756.280029,1768.579956,1739.23999,1753.839966,2296420000.0
1D,2010-02-10T00:00:00,1752.459961,1760.609985,1738.459961,1749.76001,2059940000.0
1D,2010-02-11T00:00:00,1747.550049,1780.050049,1739.02002,1775.73999,2141260000.0
1D,2010-02-12T00:00:00,1761.290039,1783.699951,1756.650024,1779.109985,2236180000.0
1D,2010-02-16T00:00:00,1792.900024,1802.47998,1782.72998,1802.060059,2072850000.0
1D,2010-02-17T00:00:00,1808.550049,1811.199951,1799.25,1810.859985,2103530000.0
1D,2010-02-18T00:00:00,1809.01001,1825.819946,1806.76001,1823.390015,2076820000.0
1D,2010-02-19T00:00:00,1816.939941,1830.380005,1813.079956,1823.319946,2166660000.0
1D,2010-02-22T00:00:00,1828.689941,1829.180054,1811.52002,1817.630005,1976290000.0
1D,2010-02-23T00:00:00,1815.430054,1817.959961,1786.459961,1793.819946,2310910000.0
1D,2010-02-24T00:00:00,1803.290039,1819.5,1801.040039,1812.51001,2155810000.0
1D,2010-02-25T00:00:00,1791.150024,1815.939941,1781.119995,1812.910034,2300530000.0
1D,2010-02-26T00:00:00,1812.23999,1822.199951,1804.089966,1818.680054,2283430000.0
1D,2010-03-01T00:00:00,1826.619995,1848.099976,1826.609985,1846.400024,2504940000.0
1D,2010-03-02T00:00:00,1851.790039,1862.640015,1847.030029,1851.209961,2831870000.0
1D,2010-03-03T00:00:00,1854.709961,1861.150024,1846.219971,1851.569946,2603510000.0
1D,2010-03-04T00:00:00,1852.699951,1860.76001,1844.920044,1859.719971,2186020000.0
1D,2010-03-05T00:00:00,1871.619995,1889.680054,1869.099976,1888.560059,2411880000.0
1D,2010-03-08T00:00:00,1888.040039,1894.75,1887.660034,1890.890015,2312310000.0
1D,2010-03-09T00:00:00,1885.98999,1911.380005,1885.98999,1901.380005,2620360000.0
1D,2010-03-10T00:00:00,1901.23999,1920.660034,1901.109985,1917.349976,2554740000.0
1D,2010-03-11T00:00:00,1911.069946,1923.810059,1908.390015,1923.810059,2256790000.0
1D,2010-03-12T00:00:00,1930.0,1930.170044,1916.410034,1924.430054,2098780000.0
1D,2010-03-15T00:00:00,1918.140015,1924.48999,1906.01001,1920.089966,1956170000.0
1D,2010-03-16T00:00:00,1924.27002,1933.959961,1918.97998,1932.23999,2201880000.0
1D,2010-03-17T00:00:00,1934.650024,1945.900024,1930.910034,1936.219971,2281410000.0
1D,2010-03-18T00:00:00,1937.630005,1945.280029,1934.170044,1943.939941,2173060000.0
1D,2010-03-19T00:00:00,1943.959961,1949.140015,1924.719971,1932.430054,3055760000.0
1D,2010-03-22T00:00:00,1922.72998,1956.47998,1921.709961,1949.589966,2448130000.0
1D,2010-03-23T00:00:00,1952.540039,1964.140015,1943.25,1963.199951,2465230000.0
1D,2010-03-24T00:00:00,1956.630005,1958.599976,1948.849976,1951.839966,2436100000.0
1D,2010-03-25T00:00:00,1966.560059,1976.380005,1948.5,1949.150024,2704870000.0
1D,2010-03-26T00:00:00,1958.27002,1965.52002,1942.209961,1952.630005,2367930000.0
1D,2010-03-29T00:00:00,1960.630005,1968.430054,1956.599976,1961.219971,1967850000.0
1D,2010-03-30T00:00:00,1966.51001,1974.469971,1955.219971,1967.959961,2147270000.0
1D,2010-03-31T00:00:00,1962.170044,1969.900024,1955.150024,1958.339966,2368690000.0
1D,2010-04-01T00:00:00,1968.439941,1979.48999,1943.969971,1959.560059,2340270000.0
1D,2010-04-05T00:00:00,1964.030029,1981.069946,1958.01001,1977.829956,2130340000.0
